"Portion_code","Portion_description","Start_date","End_date"
10199,"1 cup, with hulls, yields",2017-01-01,2018-12-31
10200,"1 cup, with pits, yields",2017-01-01,2018-12-31
10201,"1 cup, with seeds, yields",2017-01-01,2018-12-31
10202,"1 cup, with shell, cooked (yield after shell removed)",2017-01-01,2018-12-31
10203,"1 cup, with shell, raw (yield after cooking, shell removed)",2017-01-01,2018-12-31
10204,"1 cup, yield after cooking",2017-01-01,2018-12-31
10205,"1 cup",2017-01-01,2018-12-31
10206,"1 cup  (not packed)",2017-01-01,2018-12-31
10207,"1 cup (1/2"" cubes)",2017-01-01,2018-12-31
10208,"1 cup (12 rectangular pieces)",2017-01-01,2018-12-31
10209,"1 cup (17 kernels)",2017-01-01,2018-12-31
10210,"1 cup (2 servings)",2017-01-01,2018-12-31
10211,"1 cup (4.86 eggs)",2017-01-01,2018-12-31
10212,"1 cup (5 large clams, 8 medium clams, 10 small clams), cooked",2017-01-01,2018-12-31
10213,"1 cup (75 pieces)",2017-01-01,2018-12-31
10214,"1 cup (78 kernels)",2017-01-01,2018-12-31
10215,"1 cup (8 fl oz)",2017-01-01,2018-12-31
10216,"1 cup (8 large clams, 12 medium clams, 15 small clams)",2017-01-01,2018-12-31
10217,"1 cup (84 pieces)",2017-01-01,2018-12-31
10218,"1 cup (about 23 slices)",2017-01-01,2018-12-31
10219,"1 cup (about 3.4 lg eggs)",2017-01-01,2018-12-31
10220,"1 cup (pieces)",2017-01-01,2018-12-31
10221,"1 cup (yield after bone removed)",2017-01-01,2018-12-31
10222,"1 cup Dietetic Chocolate TV Mix",2017-01-01,2018-12-31
10223,"1 cup Dietetic Covered raisins",2017-01-01,2018-12-31
10224,"1 cup Mr.Phipps Pretzel Chips",2017-01-01,2018-12-31
10225,"1 cup Planter's cheese balls",2017-01-01,2018-12-31
10226,"1 cup Ritz Bits sandwiches",2017-01-01,2018-12-31
10227,"1 cup Teddy Graham Bearwich",2017-01-01,2018-12-31
10228,"1 cup bite size (include Keebler Mini Middles)",2017-01-01,2018-12-31
10229,"1 cup butter- or barbecue-flavored, popped",2017-01-01,2018-12-31
10230,"1 cup cheese- or sour cream and onion-flavored, popped",2017-01-01,2018-12-31
10231,"1 cup cooked, diced",2017-01-01,2018-12-31
10232,"1 cup dried, yield after cooking",2017-01-01,2018-12-31
10233,"1 cup of large, soft",2017-01-01,2018-12-31
10234,"1 cup of miniatures",2017-01-01,2018-12-31
10235,"1 cup popped",2017-01-01,2018-12-31
10236,"1 cup spoon size biscuits",2017-01-01,2018-12-31
10237,"1 cup with liquid and clams",2017-01-01,2018-12-31
10238,"1 cup yields",2017-01-01,2018-12-31
10239,"1 cup, chopped or diced, cooked",2017-01-01,2018-12-31
10240,"1 cup boneless, chopped or diced",2017-01-01,2018-12-31
10241,"1 cup, hot",2017-01-01,2018-12-31
10242,"1 cup, sifted",2017-01-01,2018-12-31
10243,"1 cup, stirred",2017-01-01,2018-12-31
10244,"1 cup, without pits",2017-01-01,2018-12-31
10245,"1 cup whole kernels",2017-01-01,2018-12-31
10246,"1 cup, (1"" pieces)",2017-01-01,2018-12-31
10247,"1 cup, chips",2017-01-01,2018-12-31
10248,"1 cup, unsifted",2017-01-01,2018-12-31
10249,"1 cup, thawed",2017-01-01,2018-12-31
10250,"1 cup (1/8"" slices)",2017-01-01,2018-12-31
10251,"1 cup (3 oz)",2017-01-01,2018-12-31
10252,"1 cup (32 kernels)",2017-01-01,2018-12-31
10253,"1 cup (4 oz)",2017-01-01,2018-12-31
10255,"1 cup (approx 75)",2017-01-01,2018-12-31
10256,"1 cup (unprepared)",2017-01-01,2018-12-31
10257,"1 cup (whole or chopped)",2017-01-01,2018-12-31
10258,"1 cup candy corn",2017-01-01,2018-12-31
10259,"1 cup chopped kernels",2017-01-01,2018-12-31
10260,"1 cup chopped or diced, or 1 can (4-1/2 oz)",2017-01-01,2018-12-31
10261,"1 cup chopped or diced, shredded",2017-01-01,2018-12-31
10262,"1 cup chunks, tidbits",2017-01-01,2018-12-31
10263,"1 cup chunks, tidbits, crushed",2017-01-01,2018-12-31
10264,"1 cup coarse crumbs",2017-01-01,2018-12-31
10265,"1 cup cooked, chopped or diced",2017-01-01,2018-12-31
10266,"1 cup cooked, with bone, after bone removed",2017-01-01,2018-12-31
10267,"1 cup crumbs, not packed",2017-01-01,2018-12-31
10269,"1 cup diced, boneless",2017-01-01,2018-12-31
10270,"1 cup firmly packed",2017-01-01,2018-12-31
10271,"1 cup halves or slices",2017-01-01,2018-12-31
10272,"1 cup long grain",2017-01-01,2018-12-31
10273,"1 cup long grain, cold",2017-01-01,2018-12-31
10274,"1 cup long grain, hot",2017-01-01,2018-12-31
10275,"1 cup miniature, not packed",2017-01-01,2018-12-31
10276,"1 cup mints, uncoated",2017-01-01,2018-12-31
10277,"1 cup pieces or chips",2017-01-01,2018-12-31
10278,"1 cup sections with juice",2017-01-01,2018-12-31
10279,"1 cup short grain",2017-01-01,2018-12-31
10281,"1 cup sifted, spooned",2017-01-01,2018-12-31
10282,"1 cup slices, thawed",2017-01-01,2018-12-31
10283,"1 cup stirred, spooned",2017-01-01,2018-12-31
10285,"1 cup unsifted, dipped",2017-01-01,2018-12-31
10286,"1 cup unsifted, spooned",2017-01-01,2018-12-31
10287,"1 cup whipped",2017-01-01,2018-12-31
10288,"1 cup with pits",2017-01-01,2018-12-31
10289,"1 cup, (1"" cubes)",2017-01-01,2018-12-31
10290,"1 cup, (1/2"" pieces)",2017-01-01,2018-12-31
10291,"1 cup, (1/2"" slices)",2017-01-01,2018-12-31
10292,"1 cup, cold",2017-01-01,2018-12-31
10294,"1 cup, fluid",2017-01-01,2018-12-31
10295,"1 cup, lightly filled",2017-01-01,2018-12-31
10296,"1 cup, poured from box",2017-01-01,2018-12-31
10298,"1 cup, spooned into cup",2017-01-01,2018-12-31
10299,"1 cup, unthawed",2017-01-01,2018-12-31
10300,"1 cup, without refuse",2017-01-01,2018-12-31
10301,"1 cup or (6-oz package)",2017-01-01,2018-12-31
10302,"1 cup sections, without membranes",2017-01-01,2018-12-31
10303,"1 cup (1 oz)",2017-01-01,2018-12-31
10304,"1 cup (6 oz package) chips",2017-01-01,2018-12-31
10305,"1 cup, Chex Party Mix",2017-01-01,2018-12-31
10306,"1 cup, Pepperidge Farm Snack Mix",2017-01-01,2018-12-31
10307,"1 cup, goldfish",2017-01-01,2018-12-31
10308,"1 cup, Smoothie",2017-01-01,2018-12-31
10309,"1 cup, juice",2017-01-01,2018-12-31
10310,"1 cup, cubed",2017-01-01,2018-12-31
10312,"1 cup Edensoy",2017-01-01,2018-12-31
10313,"1 cup whole, without pits",2017-01-01,2018-12-31
10314,"1 cup, baby carrots",2017-01-01,2018-12-31
10315,"1 cup, carrot balls",2017-01-01,2018-12-31
10316,"1 cup (8 oz ladle)",2017-01-01,2018-12-31
10317,"1 cup, cracked",2017-01-01,2018-12-31
10318,"1 cup pa-tsai",2017-01-01,2018-12-31
10319,"1 cup pak-choi",2017-01-01,2018-12-31
10320,"1 cup, frozen, yields",2017-01-01,2018-12-31
10321,"1 cup elbow shaped",2017-01-01,2018-12-31
10322,"1 cup spiral shaped",2017-01-01,2018-12-31
10323,"1 cup small shells",2017-01-01,2018-12-31
10324,"1 cup, curly fries",2017-01-01,2018-12-31
10325,"1 cup, Snackwell's",2017-01-01,2018-12-31
10326,"1 cup, Wheat Thins",2017-01-01,2018-12-31
10327,"1 cup, Wheatables",2017-01-01,2018-12-31
10328,"1 cup, Triscuits",2017-01-01,2018-12-31
10329,"1 cup, Town House",2017-01-01,2018-12-31
10330,"1 cup, Toasteds",2017-01-01,2018-12-31
10331,"1 cup, Ritz",2017-01-01,2018-12-31
10332,"1 cup, Fundamiddles",2017-01-01,2018-12-31
10333,"1 cup, undrained",2017-01-01,2018-12-31
10334,"1 cup, fluid (yields 2 cups whipped)",2017-01-01,2018-12-31
10335,"1 cup sprigs",2017-01-01,2018-12-31
10336,"1 cup, large chips",2017-01-01,2018-12-31
10337,"1 cup, mini chips",2017-01-01,2018-12-31
10338,"1 cup, Butterfinger BB's",2017-01-01,2018-12-31
10339,"1 cup, creamed",2017-01-01,2018-12-31
10340,"1 cup, crisps",2017-01-01,2018-12-31
10342,"1 cup, refried beans",2017-01-01,2018-12-31
10343,"1 cup ice",2017-01-01,2018-12-31
10345,"1 cup, Cheese Nips",2017-01-01,2018-12-31
10346,"1 cup shredded, romaine",2017-01-01,2018-12-31
10347,"1 cup (assume loosely packed)",2017-01-01,2018-12-31
10348,"1 cup, in pod, yields",2017-01-01,2018-12-31
10349,"1 cup, without shell",2017-01-01,2018-12-31
10350,"1 cup, without shell, NS as to form",2017-01-01,2018-12-31
21000,"1 tablespoon",2017-01-01,2018-12-31
21001,"1 tablespoon NFS",2017-01-01,2018-12-31
21002,"1 tablespoon, dry",2017-01-01,2018-12-31
