"Food_code","Subcode","Start_date","End_date"
53109200,1000351,2017-01-01,2018-12-31
53109200,1000352,2017-01-01,2018-12-31
53109200,1000353,2017-01-01,2018-12-31
53109200,1000354,2017-01-01,2018-12-31
53109200,1000355,2017-01-01,2018-12-31
91701020,0,2017-01-01,2018-12-31
91701020,1000001,2017-01-01,2018-12-31
91703010,0,2017-01-01,2018-12-31
91703010,1000003,2017-01-01,2018-12-31
91703020,0,2017-01-01,2018-12-31
91703020,1000004,2017-01-01,2018-12-31
91703020,1000006,2017-01-01,2018-12-31
91703020,1000007,2017-01-01,2018-12-31
91703020,1000008,2017-01-01,2018-12-31
91703020,1000284,2017-01-01,2018-12-31
91703020,1000285,2017-01-01,2018-12-31
91703020,1000303,2017-01-01,2018-12-31
91703040,0,2017-01-01,2018-12-31
91703040,1000009,2017-01-01,2018-12-31
91703040,1000011,2017-01-01,2018-12-31
91703040,1000012,2017-01-01,2018-12-31
91703040,1000013,2017-01-01,2018-12-31
91703040,1000014,2017-01-01,2018-12-31
91703040,1000015,2017-01-01,2018-12-31
91703040,1000016,2017-01-01,2018-12-31
91703040,1000295,2017-01-01,2018-12-31
91703040,1000299,2017-01-01,2018-12-31
91703060,0,2017-01-01,2018-12-31
91703060,1000018,2017-01-01,2018-12-31
91703060,1000019,2017-01-01,2018-12-31
91703060,1000020,2017-01-01,2018-12-31
91703060,1000021,2017-01-01,2018-12-31
91703060,1000281,2017-01-01,2018-12-31
91705010,0,2017-01-01,2018-12-31
91705010,1000023,2017-01-01,2018-12-31
91705010,1000024,2017-01-01,2018-12-31
91705010,1000025,2017-01-01,2018-12-31
91705010,1000026,2017-01-01,2018-12-31
91705010,1000027,2017-01-01,2018-12-31
91705010,1000028,2017-01-01,2018-12-31
91705010,1000029,2017-01-01,2018-12-31
91705010,1000273,2017-01-01,2018-12-31
91705010,1000290,2017-01-01,2018-12-31
91705010,1000291,2017-01-01,2018-12-31
91705010,1000300,2017-01-01,2018-12-31
91705010,1000301,2017-01-01,2018-12-31
91705010,1000310,2017-01-01,2018-12-31
91705010,1000320,2017-01-01,2018-12-31
91705020,0,2017-01-01,2018-12-31
91705020,1000031,2017-01-01,2018-12-31
91705020,1000032,2017-01-01,2018-12-31
91705020,1000033,2017-01-01,2018-12-31
91705020,1000034,2017-01-01,2018-12-31
91705020,1000275,2017-01-01,2018-12-31
91705020,1000292,2017-01-01,2018-12-31
91705020,1000316,2017-01-01,2018-12-31
91705040,0,2017-01-01,2018-12-31
91705040,1000038,2017-01-01,2018-12-31
91705040,1000039,2017-01-01,2018-12-31
91705040,1000040,2017-01-01,2018-12-31
91705040,1000324,2017-01-01,2018-12-31
91705050,0,2017-01-01,2018-12-31
91705050,1000042,2017-01-01,2018-12-31
91705050,1000043,2017-01-01,2018-12-31
91705050,1000304,2017-01-01,2018-12-31
91705050,1000305,2017-01-01,2018-12-31
91705060,0,2017-01-01,2018-12-31
91705060,1000045,2017-01-01,2018-12-31
91705060,1000046,2017-01-01,2018-12-31
91705060,1000267,2017-01-01,2018-12-31
91705060,1000293,2017-01-01,2018-12-31
91705060,1000311,2017-01-01,2018-12-31
91705060,1000317,2017-01-01,2018-12-31
91705070,0,2017-01-01,2018-12-31
91705070,1000048,2017-01-01,2018-12-31
91705070,1000049,2017-01-01,2018-12-31
91705200,0,2017-01-01,2018-12-31
91705200,1000051,2017-01-01,2018-12-31
91705300,0,2017-01-01,2018-12-31
91705300,1000309,2017-01-01,2018-12-31
91705300,1000318,2017-01-01,2018-12-31
91705300,1000327,2017-01-01,2018-12-31
91705400,0,2017-01-01,2018-12-31
91705400,1000053,2017-01-01,2018-12-31
91705410,0,2017-01-01,2018-12-31
91705410,1000055,2017-01-01,2018-12-31
91705420,0,2017-01-01,2018-12-31
91705420,1000298,2017-01-01,2018-12-31
91706000,0,2017-01-01,2018-12-31
91706000,1000056,2017-01-01,2018-12-31
91706000,1000057,2017-01-01,2018-12-31
91706000,1000059,2017-01-01,2018-12-31
91706000,1000060,2017-01-01,2018-12-31
91706100,0,2017-01-01,2018-12-31
91706100,1000061,2017-01-01,2018-12-31
91706100,1000063,2017-01-01,2018-12-31
91707000,0,2017-01-01,2018-12-31
91707000,1000064,2017-01-01,2018-12-31
91707000,1000065,2017-01-01,2018-12-31
91707000,1000067,2017-01-01,2018-12-31
91707000,1000068,2017-01-01,2018-12-31
91707010,0,2017-01-01,2018-12-31
91707010,1000070,2017-01-01,2018-12-31
91707010,1000071,2017-01-01,2018-12-31
91707010,1000072,2017-01-01,2018-12-31
91707010,1000073,2017-01-01,2018-12-31
91707010,1000074,2017-01-01,2018-12-31
91707010,1000075,2017-01-01,2018-12-31
91707010,1000076,2017-01-01,2018-12-31
91707010,1000077,2017-01-01,2018-12-31
91707010,1000078,2017-01-01,2018-12-31
91707010,1000079,2017-01-01,2018-12-31
91708010,0,2017-01-01,2018-12-31
91708010,1000081,2017-01-01,2018-12-31
91708010,1000082,2017-01-01,2018-12-31
91708030,0,2017-01-01,2018-12-31
91708030,1000084,2017-01-01,2018-12-31
91708030,1000085,2017-01-01,2018-12-31
91708030,1000086,2017-01-01,2018-12-31
91708030,1000087,2017-01-01,2018-12-31
91708030,1000262,2017-01-01,2018-12-31
91708030,1000263,2017-01-01,2018-12-31
91708030,1000264,2017-01-01,2018-12-31
91708030,1000279,2017-01-01,2018-12-31
91708030,1000287,2017-01-01,2018-12-31
91708030,1000294,2017-01-01,2018-12-31
91709000,0,2017-01-01,2018-12-31
91709000,1000089,2017-01-01,2018-12-31
91709000,1000090,2017-01-01,2018-12-31
91713010,0,2017-01-01,2018-12-31
91713010,1000092,2017-01-01,2018-12-31
91715000,0,2017-01-01,2018-12-31
91715000,1000094,2017-01-01,2018-12-31
91715000,1000095,2017-01-01,2018-12-31
91715000,1000096,2017-01-01,2018-12-31
91715000,1000280,2017-01-01,2018-12-31
91718000,0,2017-01-01,2018-12-31
91718000,1000099,2017-01-01,2018-12-31
91718000,1000100,2017-01-01,2018-12-31
91718000,1000101,2017-01-01,2018-12-31
91718000,1000102,2017-01-01,2018-12-31
91718050,0,2017-01-01,2018-12-31
91718050,1000104,2017-01-01,2018-12-31
91718050,1000105,2017-01-01,2018-12-31
91718200,0,2017-01-01,2018-12-31
91718200,1000107,2017-01-01,2018-12-31
91721000,0,2017-01-01,2018-12-31
91721000,1000109,2017-01-01,2018-12-31
91721000,1000110,2017-01-01,2018-12-31
91721000,1000326,2017-01-01,2018-12-31
91723000,0,2017-01-01,2018-12-31
91723000,1000113,2017-01-01,2018-12-31
91723000,1000114,2017-01-01,2018-12-31
91723000,1000313,2017-01-01,2018-12-31
91723010,0,2017-01-01,2018-12-31
91723010,1000115,2017-01-01,2018-12-31
91723010,1000116,2017-01-01,2018-12-31
91723010,1000118,2017-01-01,2018-12-31
91723020,0,2017-01-01,2018-12-31
91723020,1000120,2017-01-01,2018-12-31
91726000,0,2017-01-01,2018-12-31
91726000,1000122,2017-01-01,2018-12-31
91726110,0,2017-01-01,2018-12-31
91726110,1000124,2017-01-01,2018-12-31
91726410,0,2017-01-01,2018-12-31
91726410,1000126,2017-01-01,2018-12-31
91728000,0,2017-01-01,2018-12-31
91728000,1000127,2017-01-01,2018-12-31
91728000,1000129,2017-01-01,2018-12-31
91728000,1000130,2017-01-01,2018-12-31
91728000,1000131,2017-01-01,2018-12-31
91731000,0,2017-01-01,2018-12-31
91731000,1000133,2017-01-01,2018-12-31
91731000,1000134,2017-01-01,2018-12-31
