"Food_code","Moisture_change","Start_date","End_date"
11710920,0,2017-01-01,2018-12-31
11710923,0,2017-01-01,2018-12-31
11710927,0,2017-01-01,2018-12-31
11710928,0,2017-01-01,2018-12-31
11710929,0,2017-01-01,2018-12-31
11710930,0,2017-01-01,2018-12-31
11710940,0,2017-01-01,2018-12-31
11710960,0,2017-01-01,2018-12-31
11710961,0,2017-01-01,2018-12-31
11710962,0,2017-01-01,2018-12-31
11710963,0,2017-01-01,2018-12-31
11710964,0,2017-01-01,2018-12-31
11710965,0,2017-01-01,2018-12-31
11710966,0,2017-01-01,2018-12-31
11710967,0,2017-01-01,2018-12-31
11710968,0,2017-01-01,2018-12-31
11710969,0,2017-01-01,2018-12-31
11720310,0,2017-01-01,2018-12-31
11720311,0,2017-01-01,2018-12-31
11720312,0,2017-01-01,2018-12-31
11720313,0,2017-01-01,2018-12-31
11720314,0,2017-01-01,2018-12-31
11720315,0,2017-01-01,2018-12-31
11720316,0,2017-01-01,2018-12-31
11720317,0,2017-01-01,2018-12-31
11720318,0,2017-01-01,2018-12-31
11720319,0,2017-01-01,2018-12-31
11720320,0,2017-01-01,2018-12-31
11720323,0,2017-01-01,2018-12-31
11720410,0,2017-01-01,2018-12-31
11720411,0,2017-01-01,2018-12-31
11720412,0,2017-01-01,2018-12-31
11720413,0,2017-01-01,2018-12-31
11720414,0,2017-01-01,2018-12-31
11720415,0,2017-01-01,2018-12-31
11720416,0,2017-01-01,2018-12-31
11720417,0,2017-01-01,2018-12-31
11720418,0,2017-01-01,2018-12-31
11720419,0,2017-01-01,2018-12-31
11720430,0,2017-01-01,2018-12-31
11720431,0,2017-01-01,2018-12-31
11720610,0,2017-01-01,2018-12-31
11720611,0,2017-01-01,2018-12-31
11720612,0,2017-01-01,2018-12-31
11720613,0,2017-01-01,2018-12-31
11720614,0,2017-01-01,2018-12-31
11720615,0,2017-01-01,2018-12-31
11720616,0,2017-01-01,2018-12-31
11720617,0,2017-01-01,2018-12-31
11720618,0,2017-01-01,2018-12-31
11720619,0,2017-01-01,2018-12-31
11720620,0,2017-01-01,2018-12-31
11720800,0,2017-01-01,2018-12-31
11720801,0,2017-01-01,2018-12-31
11720802,0,2017-01-01,2018-12-31
11720803,0,2017-01-01,2018-12-31
11720807,0,2017-01-01,2018-12-31
11720808,0,2017-01-01,2018-12-31
11720809,0,2017-01-01,2018-12-31
11740310,0,2017-01-01,2018-12-31
11740311,0,2017-01-01,2018-12-31
11740312,0,2017-01-01,2018-12-31
11740313,0,2017-01-01,2018-12-31
11740320,0,2017-01-01,2018-12-31
11740323,0,2017-01-01,2018-12-31
11740400,0,2017-01-01,2018-12-31
11740401,0,2017-01-01,2018-12-31
11740403,0,2017-01-01,2018-12-31
11740511,0,2017-01-01,2018-12-31
11740521,0,2017-01-01,2018-12-31
11810000,0,2017-01-01,2018-12-31
11811000,0,2017-01-01,2018-12-31
11812000,0,2017-01-01,2018-12-31
11813000,0,2017-01-01,2018-12-31
11825000,0,2017-01-01,2018-12-31
11830150,0,2017-01-01,2018-12-31
11830160,0,2017-01-01,2018-12-31
11830165,0,2017-01-01,2018-12-31
11830260,0,2017-01-01,2018-12-31
11830400,0,2017-01-01,2018-12-31
12100100,0,2017-01-01,2018-12-31
12110100,0,2017-01-01,2018-12-31
12120100,0,2017-01-01,2018-12-31
12120106,0,2017-01-01,2018-12-31
12120110,0,2017-01-01,2018-12-31
12130100,0,2017-01-01,2018-12-31
12140000,0,2017-01-01,2018-12-31
12200100,0,2017-01-01,2018-12-31
12210200,0,2017-01-01,2018-12-31
12210210,0,2017-01-01,2018-12-31
12210260,0,2017-01-01,2018-12-31
12210270,0,2017-01-01,2018-12-31
12210280,0,2017-01-01,2018-12-31
12210310,0,2017-01-01,2018-12-31
12210400,0,2017-01-01,2018-12-31
12210420,0,2017-01-01,2018-12-31
12210430,0,2017-01-01,2018-12-31
12210440,0,2017-01-01,2018-12-31
12210505,0,2017-01-01,2018-12-31
12210520,0,2017-01-01,2018-12-31
12220200,0,2017-01-01,2018-12-31
12220270,0,2017-01-01,2018-12-31
12220280,0,2017-01-01,2018-12-31
12310100,0,2017-01-01,2018-12-31
12310350,0,2017-01-01,2018-12-31
12310370,0,2017-01-01,2018-12-31
12320100,0,2017-01-01,2018-12-31
12350010,0,2017-01-01,2018-12-31
12350200,0,2017-01-01,2018-12-31
12350205,0,2017-01-01,2018-12-31
12350210,0,2017-01-01,2018-12-31
12350215,0,2017-01-01,2018-12-31
12350220,0,2017-01-01,2018-12-31
12350225,0,2017-01-01,2018-12-31
12350230,0,2017-01-01,2018-12-31
12350235,0,2017-01-01,2018-12-31
12350240,0,2017-01-01,2018-12-31
12350245,0,2017-01-01,2018-12-31
12350250,0,2017-01-01,2018-12-31
12350255,0,2017-01-01,2018-12-31
13110000,0,2017-01-01,2018-12-31
13110100,0,2017-01-01,2018-12-31
13110102,0,2017-01-01,2018-12-31
13110110,0,2017-01-01,2018-12-31
13110112,0,2017-01-01,2018-12-31
13110200,0,2017-01-01,2018-12-31
13110210,0,2017-01-01,2018-12-31
13110460,0,2017-01-01,2018-12-31
13110470,0,2017-01-01,2018-12-31
13120050,0,2017-01-01,2018-12-31
13120100,0,2017-01-01,2018-12-31
13120110,0,2017-01-01,2018-12-31
13120140,0,2017-01-01,2018-12-31
13120500,0,2017-01-01,2018-12-31
13120510,0,2017-01-01,2018-12-31
13120550,0,2017-01-01,2018-12-31
13120730,0,2017-01-01,2018-12-31
13120735,0,2017-01-01,2018-12-31
13120740,0,2017-01-01,2018-12-31
13120770,0,2017-01-01,2018-12-31
13120775,0,2017-01-01,2018-12-31
13120782,0,2017-01-01,2018-12-31
13120784,0,2017-01-01,2018-12-31
13120786,0,2017-01-01,2018-12-31
13120788,0,2017-01-01,2018-12-31
13120790,0,2017-01-01,2018-12-31
13120792,0,2017-01-01,2018-12-31
13120800,0,2017-01-01,2018-12-31
13120810,0,2017-01-01,2018-12-31
13121000,0,2017-01-01,2018-12-31
13121100,0,2017-01-01,2018-12-31
13121120,0,2017-01-01,2018-12-31
13121300,0,2017-01-01,2018-12-31
13121400,0,2017-01-01,2018-12-31
13126000,0,2017-01-01,2018-12-31
13130100,0,2017-01-01,2018-12-31
13130300,0,2017-01-01,2018-12-31
13130310,0,2017-01-01,2018-12-31
13130700,0,2017-01-01,2018-12-31
13135000,0,2017-01-01,2018-12-31
13135010,0,2017-01-01,2018-12-31
13140000,0,2017-01-01,2018-12-31
13140100,0,2017-01-01,2018-12-31
13140115,0,2017-01-01,2018-12-31
13140700,0,2017-01-01,2018-12-31
13140710,0,2017-01-01,2018-12-31
13140900,0,2017-01-01,2018-12-31
13142100,0,2017-01-01,2018-12-31
13142110,0,2017-01-01,2018-12-31
13150000,0,2017-01-01,2018-12-31
13161600,0,2017-01-01,2018-12-31
13200110,0,2017-01-01,2018-12-31
13210110,-10,2017-01-01,2018-12-31
13210280,0,2017-01-01,2018-12-31
13210300,-10,2017-01-01,2018-12-31
13210350,-10,2017-01-01,2018-12-31
13210370,-10,2017-01-01,2018-12-31
13210410,0,2017-01-01,2018-12-31
13210450,-1.8,2017-01-01,2018-12-31
13210520,0,2017-01-01,2018-12-31
13220110,0,2017-01-01,2018-12-31
13220120,0,2017-01-01,2018-12-31
13220210,0,2017-01-01,2018-12-31
13220220,0,2017-01-01,2018-12-31
13230110,0,2017-01-01,2018-12-31
13230120,0,2017-01-01,2018-12-31
13230130,0,2017-01-01,2018-12-31
13230140,0,2017-01-01,2018-12-31
13230500,0,2017-01-01,2018-12-31
13241000,0,2017-01-01,2018-12-31
