"Subcode","Subcode_description","Start_date","End_date"
1000238,"Drake's Devil Dogs",2017-01-01,2018-12-31
1000239,"Hostess Chocolate Cupcakes",2017-01-01,2018-12-31
1000241,"Little Debbie Chocolate Dessert Cakes",2017-01-01,2018-12-31
1000242,"Little Debbie Swiss Roll",2017-01-01,2018-12-31
1000243,"Tastykake Junior Chocolate Cakes",2017-01-01,2018-12-31
1000244,"Hostess Suzy Q",2017-01-01,2018-12-31
1000246,"Tastykake white or yellow cupcakes",2017-01-01,2018-12-31
1000247,"Tastykake Krimpets",2017-01-01,2018-12-31
1000250,"Hostess Twinkies",2017-01-01,2018-12-31
1000252,"Hostess Cupcakes, not chocolate",2017-01-01,2018-12-31
1000253,"Little Debbie Zebra Cakes, white or yellow",2017-01-01,2018-12-31
1000254,"Hostess Raspberry or Vanilla Zinger",2017-01-01,2018-12-31
1000255,"Tastykake junior cakes, white, yellow, coconut or coffee flavor",2017-01-01,2018-12-31
1000260,"Petit Fours",2017-01-01,2018-12-31
1000261,"Hostess Chocolate Zinger",2017-01-01,2018-12-31
1000262,"Soda-licious",2017-01-01,2018-12-31
1000263,"Farley's Fruit Snacks",2017-01-01,2018-12-31
1000264,"Gushers Fruit Snacks",2017-01-01,2018-12-31
1000266,"Life Savers Holes",2017-01-01,2018-12-31
1000267,"Hershey Kisses with Almonds",2017-01-01,2018-12-31
1000268,"Sweet 'n Low sugar-free hard candies",2017-01-01,2018-12-31
1000269,"Brach's Rocks",2017-01-01,2018-12-31
1000270,"Heath Sensations",2017-01-01,2018-12-31
1000271,"Starlight Mint",2017-01-01,2018-12-31
1000273,"Hershey's Hugs",2017-01-01,2018-12-31
1000274,"Airheads",2017-01-01,2018-12-31
1000275,"Hershey's Cookies 'n' Mint",2017-01-01,2018-12-31
1000276,"Ho Ho's",2017-01-01,2018-12-31
1000277,"Ding Dongs",2017-01-01,2018-12-31
1000278,"Laffy Taffy",2017-01-01,2018-12-31
1000279,"Fruit By The Foot",2017-01-01,2018-12-31
1000280,"Clark Bun Bar",2017-01-01,2018-12-31
1000281,"Reese's NutRageous",2017-01-01,2018-12-31
1000282,"Pez",2017-01-01,2018-12-31
1000283,"Ring Pop",2017-01-01,2018-12-31
1000284,"Kraft caramels",2017-01-01,2018-12-31
1000285,"Jersey's",2017-01-01,2018-12-31
1000286,"Planters Peanut Butter Chocolates",2017-01-01,2018-12-31
1000287,"Betty Crocker Fruit String Thing",2017-01-01,2018-12-31
1000288,"Dum Dums",2017-01-01,2018-12-31
1000290,"Hershey's Nuggets",2017-01-01,2018-12-31
1000291,"Easter bunnies",2017-01-01,2018-12-31
1000292,"Hershey's Cookies 'n' Mint Nuggets",2017-01-01,2018-12-31
1000293,"Hershey's Nuggets with Almonds",2017-01-01,2018-12-31
1000294,"Sunbelt Fruit Jammers",2017-01-01,2018-12-31
1000295,"Riesen Chocolate Chew",2017-01-01,2018-12-31
1000296,"Runts",2017-01-01,2018-12-31
1000297,"Life Savers Gummi Savers",2017-01-01,2018-12-31
1000298,"Hershey's Cookies 'n' Creme",2017-01-01,2018-12-31
1000299,"Russell Stover Caramel Heart",2017-01-01,2018-12-31
1000300,"chocolate rose",2017-01-01,2018-12-31
1000301,"Dove Milk Chocolate bar",2017-01-01,2018-12-31
1000302,"Little Debbie Strawberry Shortcake Rolls",2017-01-01,2018-12-31
1000303,"Pearson Caramel Nips",2017-01-01,2018-12-31
1000304,"Chunky, NFS",2017-01-01,2018-12-31
1000305,"Chunky Original",2017-01-01,2018-12-31
1000308,"Sweet Escapes Chocolate Toffee Crisp Candy Bar",2017-01-01,2018-12-31
1000309,"Special Dark",2017-01-01,2018-12-31
1000310,"Cadbury Dairy Milk",2017-01-01,2018-12-31
1000311,"Cadbury Roasted Almonds",2017-01-01,2018-12-31
1000313,"Peeps",2017-01-01,2018-12-31
1000314,"Sour Patch Kids",2017-01-01,2018-12-31
1000315,"Reese's Bites",2017-01-01,2018-12-31
1000316,"Malted Milk Eggs",2017-01-01,2018-12-31
1000317,"Hershey Bites with Almonds",2017-01-01,2018-12-31
1000318,"Dove Dark Chocolate bar",2017-01-01,2018-12-31
1000320,"Dove Promises",2017-01-01,2018-12-31
1000321,"Gummy animals/shapes",2017-01-01,2018-12-31
1000323,"Nestle Sno Caps",2017-01-01,2018-12-31
1000324,"Ferrero Rocher Hazelnut Chocolate",2017-01-01,2018-12-31
1000325,"Oreo Cakesters",2017-01-01,2018-12-31
1000326,"Sour Punch",2017-01-01,2018-12-31
1000327,"Hershey's Special Dark Kisses",2017-01-01,2018-12-31
1000328,"Baby Bottle Pop",2017-01-01,2018-12-31
1000329,"Drake's Peanut Butter Crème Filled Devil's Food Cakes",2017-01-01,2018-12-31
1000330,"Little Debbie Chocolate Zebra Cakes",2017-01-01,2018-12-31
1000331,"Little Debbie Frosted Fudge Cake",2017-01-01,2018-12-31
1000332,"Little Debbie Chocolate Chip Snack Cakes",2017-01-01,2018-12-31
1000333,"Little Debbie Crème-Filled Chocolate Cupcakes",2017-01-01,2018-12-31
1000334,"Little Debbie Devil Cremes",2017-01-01,2018-12-31
1000335,"Little Debbie Chocolate Fudge Swirls",2017-01-01,2018-12-31
1000336,"Hostess 100 Calorie Pack Chocolate Cupcakes",2017-01-01,2018-12-31
1000337,"Little Debbie 100 Calories Chocolate Cakes",2017-01-01,2018-12-31
1000338,"Oreo Cakesters 100 Calorie Pack",2017-01-01,2018-12-31
1000340,"Little Debbie Boston Crème Roll",2017-01-01,2018-12-31
1000341,"Little Debbie Fancy Cake",2017-01-01,2018-12-31
1000342,"Little Debbie Banana Twins",2017-01-01,2018-12-31
1000343,"Little Debbie Golden Cremes",2017-01-01,2018-12-31
1000344,"Little Debbie Yellow Dessert Cakes",2017-01-01,2018-12-31
1000345,"Drake's Sunny Doodles",2017-01-01,2018-12-31
1000346,"Tastykake Doublicious Peanut Butter Kandy Kakes",2017-01-01,2018-12-31
1000347,"Tastykake Coconut Junior",2017-01-01,2018-12-31
1000348,"Hostess 100 Calorie Pack Twinkie Bites",2017-01-01,2018-12-31
1000349,"Little Debbie 100 Calorie Yellow Cakes",2017-01-01,2018-12-31
1000350,"Little Debbie 100 Calorie Lemon Snack Cake",2017-01-01,2018-12-31
1000351,"Hostess 100 Calorie Pack Mini Lemon Cupcakes",2017-01-01,2018-12-31
1000352,"Hostess 100 Calorie Pack Mini Golden Cupcakes",2017-01-01,2018-12-31
1000353,"Hostess 100 Calorie Pack Mini Strawberry Cupcakes",2017-01-01,2018-12-31
1000354,"Hostess 100 Calorie Pack Mini Carrot Cakes",2017-01-01,2018-12-31
1000355,"Tastykake 100 Calorie Carrot Cake Finger Cakes",2017-01-01,2018-12-31
1000356,"Hostess Snowballs",2017-01-01,2018-12-31
1000357,"Lemonheads",2017-01-01,2018-12-31
